,titleId,primaryTitle,startYear,runtimeMinutes,genres,region,averageRating
0,tt0035423,Kate & Leopold,2001.0,118,"Comedy,Fantasy,Romance",ES,6.4
1,tt0038687,Let There Be Light,1980.0,58,"Documentary,War",BR,7.4
2,tt0054724,I Eat Your Skin,1971.0,92,Horror,AU,3.5
3,tt0062690,Awakening of the Beast,1970.0,93,"Drama,Horror",BR,6.1
4,tt0064106,Le Boucher,1970.0,93,"Drama,Thriller",NaN,7.5
5,tt0064165,The Things of Life,1970.0,89,"Drama,Romance",JP,7.6
6,tt0064177,Colossus: The Forbin Project,1970.0,100,"Sci-Fi,Thriller",CA,7.1
7,tt0064225,Last Known Address,1970.0,105,"Crime,Thriller",AR,7.0
8,tt0064285,The Wild Child,1970.0,83,Drama,HU,7.5
9,tt0064437,The Honeymoon Killers,1970.0,107,"Crime,Drama,Romance",GR,7.0
10,tt0064451,A Touch of Zen,1971.0,200,"Action,Adventure,Drama",FR,7.6
11,tt0064494,Eugenie,1970.0,87,"Drama,Horror",GR,5.4
12,tt0064546,Witchhammer,1970.0,107,"Drama,History,Horror",MX,7.9
13,tt0064553,King Lear,1970.0,140,Drama,BG,8.1
14,tt0064624,Maid in Sweden,1971.0,80,Drama,TR,4.4
15,tt0064704,Girly,1970.0,102,"Comedy,Crime,Horror",AR,6.6
16,tt0064727,The Bloody Judge,1970.0,91,"Biography,Horror",SUHH,5.2
17,tt0064791,Rider on the Rain,1970.0,120,"Crime,Drama,Mystery",BR,6.9
18,tt0064806,The Phantom Tollbooth,1970.0,90,"Adventure,Animation,Comedy",SUHH,6.9
19,tt0064839,Crime and Punishment,1970.0,221,Drama,JP,7.8
20,tt0064904,Hatchet for the Honeymoon,1970.0,88,"Horror,Mystery,Thriller",GB,6.4
21,tt0064949,Scream and Scream Again,1970.0,95,"Crime,Drama,Horror",GR,5.6
22,tt0065073,Taste the Blood of Dracula,1970.0,91,"Drama,Fantasy,Horror",SUHH,6.4
23,tt0065134,Two Mules for Sister Sara,1970.0,116,"Adventure,Romance,War",ES,7.0
24,tt0065143,The Bird with the Crystal Plumage,1970.0,96,"Horror,Mystery,Thriller",PT,7.2
25,tt0065168,The Nude Vampire,1970.0,90,Horror,PL,5.4
26,tt0065377,Airport,1970.0,137,"Action,Drama,Thriller",NaN,6.6
27,tt0065391,The American Soldier,1970.0,80,Drama,PL,6.7
28,tt0065396,Reconstruction,1970.0,100,"Crime,Drama",HU,7.3
29,tt0065398,And Soon the Darkness,1970.0,99,"Horror,Mystery,Thriller",IS,6.6
30,tt0065417,Days and Nights in the Forest,1970.0,115,Drama,SUHH,8.2
31,tt0065421,The Aristocats,1970.0,78,"Adventure,Animation,Comedy",NO,7.1
32,tt0065436,Even Dwarfs Started Small,1970.0,96,"Comedy,Drama",SUHH,6.9
33,tt0065439,The Confession,1970.0,139,"Drama,History,Thriller",AR,7.9
34,tt0065446,The Ballad of Cable Hogue,1970.0,121,"Comedy,Drama,Romance",GR,7.2
35,tt0065451,Barquero,1970.0,115,Western,XYU,6.3
36,tt0065457,Beg,1971.0,196,"Drama,History,War",RO,7.8
37,tt0065462,Beneath The Planet Of The Apes,1970.0,95,"Action,Adventure,Sci-Fi",FI,6.1
38,tt0065466,Beyond the Valley of the Dolls,1970.0,109,"Comedy,Drama,Music",GR,6.3
39,tt0065481,Bloody Mama,1970.0,90,"Crime,Drama",GR,5.7
40,tt0065486,Borsalino,1970.0,125,"Crime,Drama",PL,7.0
41,tt0065488,The Boys in the Band,1970.0,118,Drama,SUHH,7.6
42,tt0065489,Brancaleone at the Crusades,1970.0,116,"Adventure,Fantasy,History",DZ,7.3
43,tt0065491,Mark of the Devil,1970.0,97,"Drama,History,Horror",IT,6.2
44,tt0065492,Brewster McCloud,1970.0,105,"Comedy,Fantasy",JP,7.0
45,tt0065524,Carry on Loving,1970.0,88,"Comedy,Romance",HU,5.9
46,tt0065525,Carry on Up the Jungle,1970.0,89,"Adventure,Comedy",CA,6.0
47,tt0065528,Catch-22,1970.0,122,"Comedy,Drama,War",FI,7.1
48,tt0065531,Le Cercle Rouge,1970.0,140,"Crime,Drama,Thriller",GB,8.0
49,tt0065542,The Cheyenne Social Club,1970.0,103,"Comedy,Romance,Western",PL,6.9
50,tt0065547,Chisum,1970.0,111,"Biography,Western",ES,6.9
51,tt0065553,Five Dolls for an August Moon,1970.0,82,"Horror,Mystery,Thriller",GB,5.8
52,tt0065555,Violent City,1970.0,100,"Action,Crime,Thriller",JP,6.4
53,tt0065569,Count Dracula,1970.0,98,"Drama,Horror",HU,5.8
54,tt0065571,The Conformist,1970.0,113,Drama,US,8.0
55,tt0065579,Cotton Comes to Harlem,1970.0,97,"Action,Comedy,Crime",TR,6.5
56,tt0065580,Countess Dracula,1971.0,93,Horror,AR,6.0
57,tt0065591,Crimes of the Future,1970.0,63,"Comedy,Sci-Fi",CA,5.0
58,tt0065593,Cromwell,1970.0,139,"Biography,Drama,History",GB,6.9
59,tt0065597,Cry of the Banshee,1970.0,91,Horror,IT,5.6
60,tt0065611,Darling Lili,1970.0,136,"Comedy,Drama,Musical",ES,6.1
61,tt0065622,The Decameron,1971.0,111,"Comedy,Drama,History",GB,7.1
62,tt0065636,Diary of a Mad Housewife,1970.0,95,"Comedy,Drama",ES,7.0
63,tt0065649,Dodes'ka-den,1970.0,140,Drama,US,7.4
64,tt0065651,Bed & Board,1970.0,97,"Comedy,Drama",NL,7.5
65,tt0065662,The Pizza Triangle,1970.0,107,"Comedy,Drama,Romance",HU,7.2
66,tt0065669,The Dunwich Horror,1970.0,90,Horror,AR,5.5
67,tt0065670,Twelve Chairs,1971.0,159,"Adventure,Comedy,Crime",FI,8.3
