,Unnamed: 0,startYear
113,1904.0,1
112,1906.0,1
111,1910.0,1
110,1911.0,5
109,1912.0,5
108,1913.0,13
107,1914.0,25
106,1915.0,25
102,1916.0,37
105,1917.0,25
104,1918.0,28
99,1919.0,52
97,1920.0,53
100,1921.0,47
101,1922.0,46
103,1923.0,36
98,1924.0,53
96,1925.0,72
95,1926.0,80
93,1927.0,92
94,1928.0,85
92,1929.0,152
91,1930.0,189
90,1931.0,238
89,1932.0,259
87,1933.0,276
83,1934.0,294
82,1935.0,297
80,1936.0,307
73,1937.0,327
81,1938.0,300
76,1939.0,319
77,1940.0,315
75,1941.0,323
78,1942.0,313
85,1943.0,288
86,1944.0,285
88,1945.0,266
84,1946.0,290
79,1947.0,311
72,1948.0,346
71,1949.0,349
70,1950.0,361
69,1951.0,380
68,1952.0,400
65,1953.0,436
67,1954.0,409
64,1955.0,439
66,1956.0,428
61,1957.0,464
58,1958.0,475
63,1959.0,447
62,1960.0,456
60,1961.0,471
59,1962.0,473
57,1963.0,483
56,1964.0,511
55,1965.0,525
54,1966.0,542
53,1967.0,583
49,1968.0,639
50,1969.0,629
44,1970.0,675
37,1971.0,727
39,1972.0,723
38,1973.0,724
45,1974.0,669
51,1975.0,625
42,1976.0,683
47,1977.0,657
52,1978.0,614
46,1979.0,664
48,1980.0,640
43,1981.0,683
41,1982.0,699
40,1983.0,713
36,1984.0,737
35,1985.0,760
34,1986.0,821
30,1987.0,911
27,1988.0,933
28,1989.0,929
33,1990.0,841
31,1991.0,859
32,1992.0,854
29,1993.0,923
26,1994.0,949
25,1995.0,1025
24,1996.0,1049
23,1997.0,1182
22,1998.0,1277
20,1999.0,1492
21,2000.0,1475
18,2001.0,1611
19,2002.0,1606
17,2003.0,1690
16,2004.0,1941
15,2005.0,2112
13,2006.0,2393
12,2007.0,2456
11,2008.0,2558
10,2009.0,2701
9,2010.0,2733
8,2011.0,2933
7,2012.0,3115
6,2013.0,3327
5,2014.0,3574
4,2015.0,3627
3,2016.0,3810
0,2017.0,4029
1,2018.0,4000
2,2019.0,3810
14,2020.0,2144
74,2021.0,327
